champion_id,champion_name,overall_games,overall_wins,overall_win_rate,classification,classification_reason,peak_bin,peak_win_rate,gap_pp,-20m_games,-20m_wins,-20m_win_rate,-20m_low_95,-20m_high_95,20-25m_games,20-25m_wins,20-25m_win_rate,20-25m_low_95,20-25m_high_95,25-30m_games,25-30m_wins,25-30m_win_rate,25-30m_low_95,25-30m_high_95,30-35m_games,30-35m_wins,30-35m_win_rate,30-35m_low_95,30-35m_high_95,35m-_games,35m-_wins,35m-_win_rate,35m-_low_95,35m-_high_95
24,ジャックス,393,204,0.5190839694656488,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,20〜25分,0.6153846153846154,19.563152896486237,62,34,0.5483870967741935,0.4253229453059872,0.6658048523173998,52,32,0.6153846153846154,0.4795962694074179,0.7352972866511478,114,63,0.5526315789473685,0.461124028128236,0.640707583119405,84,41,0.4880952380952381,0.38408171813322184,0.5931500262794481,81,34,0.41975308641975306,0.3183079093457035,0.528465371686243
31,チョ＝ガス,378,198,0.5238095238095238,終盤寄り,35分〜が最高、短時間帯との差 12.6%,35分〜,0.5978260869565217,12.612797374897456,53,25,0.4716981132075472,0.3438202760898141,0.6034014769924353,62,30,0.4838709677419355,0.3640965420650529,0.6055275253938182,84,42,0.5,0.3954375003500976,0.6045624996499024,87,46,0.5287356321839081,0.4248617443382648,0.6301791179979336,92,55,0.5978260869565217,0.49565787685217577,0.6921520094602397
143,ザイラ,372,198,0.532258064516129,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,〜20分,0.5737704918032787,10.318225650916101,61,35,0.5737704918032787,0.44895006843512514,0.6898497144203256,51,24,0.47058823529411764,0.34052771426416406,0.6047692865527341,77,42,0.5454545454545454,0.4347288664489393,0.6518602163994951,74,40,0.5405405405405406,0.4278114521014676,0.6492681557174879,109,57,0.5229357798165137,0.42999342692854,0.6143164729665341
799,アンベッサ,370,167,0.45135135135135135,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,30〜35分,0.4854368932038835,7.865723218693432,59,24,0.4067796610169492,0.2908884302255585,0.534068286344357,54,25,0.46296296296296297,0.33689688992410527,0.5939487298374505,82,34,0.4146341463414634,0.31416390246666076,0.5227450088304259,103,50,0.4854368932038835,0.3911889229019198,0.5807321265769348,72,34,0.4722222222222222,0.3612631919907144,0.5859953046654743
235,セナ,366,179,0.4890710382513661,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,20〜25分,0.54,9.000000000000002,60,27,0.45,0.3309345385376083,0.575082854510185,50,27,0.54,0.40398634328388083,0.6703056539821737,86,40,0.46511627906976744,0.3634569531171396,0.5697588400121011,96,49,0.5104166666666666,0.41195862420919654,0.6080731060515364,74,36,0.4864864864864865,0.37611598006562663,0.5981908173280549
950,ナフィーリ,363,190,0.5234159779614325,終盤寄り,35分〜が最高、短時間帯との差 9.4%,35分〜,0.625,9.438775510204078,49,26,0.5306122448979592,0.3938062701991985,0.6629671810210522,52,25,0.4807692307692308,0.3510389470288445,0.6131454602947278,87,48,0.5517241379310345,0.447243599475858,0.6518299527292991,95,41,0.43157894736842106,0.336556700478959,0.5319197304974721,80,50,0.625,0.515485228513904,0.7230598374199523
110,ヴァルス,356,169,0.4747191011235955,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,25〜30分,0.5176470588235295,9.211514392991244,50,24,0.48,0.347969123955057,0.6148848774119157,47,20,0.425531914893617,0.2951341600182584,0.5671833122878847,85,44,0.5176470588235295,0.41297360126349636,0.6207943632936481,79,38,0.4810126582278481,0.3742954498192782,0.5894908604403015,95,43,0.45263157894736844,0.35632609157265266,0.5526191298725689
254,ヴァイ,351,177,0.5042735042735043,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,25〜30分,0.5432098765432098,10.090218423551756,52,23,0.4423076923076923,0.3159484718858809,0.5766047500848361,53,28,0.5283018867924528,0.39659852300756443,0.6561797239101858,81,44,0.5432098765432098,0.43523822983845284,0.647268464990499,74,36,0.4864864864864865,0.37611598006562663,0.5981908173280549,91,46,0.5054945054945055,0.4046479711950282,0.6058959251542532
876,リリア,349,188,0.5386819484240688,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,20〜25分,0.6486486486486487,14.864864864864868,59,35,0.5932203389830508,0.465931713655643,0.7091115697744415,37,24,0.6486486486486487,0.48758729517569566,0.7817459336889914,88,46,0.5227272727272727,0.4196177626380677,0.6239354855631831,72,36,0.5,0.3874689600472425,0.6125310399527575,93,47,0.5053763440860215,0.40558333097011484,0.6047428098619243
266,エイトロックス,347,176,0.5072046109510087,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,20〜25分,0.5576923076923077,12.745974955277283,54,29,0.5370370370370371,0.4060512701625496,0.6631031100758947,52,29,0.5576923076923077,0.4233952499151638,0.6840515281141191,75,40,0.5333333333333333,0.4215733915278032,0.6418449054118834,86,37,0.43023255813953487,0.3307917119906583,0.5356398742678231,80,41,0.5125,0.4049314460370689,0.6189230605563166
