scope,observed_tier,patch,role,champion_id,champion_name,games,wins,losses,win_rate,pick_count,pick_rate,pick_rate_denominator,avg_kda,avg_cs_per_min,avg_gold_per_min,avg_damage_share,avg_vision_score,first_blood_rate,first_tower_rate,ban_count,ban_match_count,ban_rate,min_games_applied
overall,MIXED,16.14,ALL,111,Nautilus,60,30,30,0.5,60,0.017241379310344827,3480,3.512811679061679,0.8472520280163665,286.60749732309785,0.10204480350135643,60.78333333333333,0.08333333333333333,0.016666666666666666,57,52,0.14942528735632185,15
overall,MIXED,16.14,UTILITY,111,Nautilus,60,30,30,0.5,60,0.08620689655172414,696,3.512811679061679,0.8472520280163665,286.60749732309785,0.10204480350135643,60.78333333333333,0.08333333333333333,0.016666666666666666,57,52,0.14942528735632185,15
overall,MIXED,16.13,BOTTOM,22,Ashe,60,28,32,0.4666666666666667,60,0.0911854103343465,658,3.2413293650793653,6.243290477295143,392.2345741241059,0.20466630014544132,18.683333333333334,0.15,0.1,88,79,0.24012158054711247,15
overall,MIXED,16.17,ALL,54,Malphite,60,27,33,0.45,60,0.011904761904761904,5040,3.5488690476190485,5.398208014512417,348.90040407418854,0.1905636909833897,26.383333333333333,0.06666666666666667,0.05,61,58,0.11507936507936507,15
overall,MIXED,16.13,ALL,99,Lux,60,26,34,0.43333333333333335,60,0.0182370820668693,3290,3.5963660413660414,2.360136942674674,316.7076948042092,0.21228242183539592,50.85,0.06666666666666667,0.05,20,18,0.0547112462006079,15
overall,MIXED,16.15,BOTTOM,145,Kaisa,60,23,37,0.38333333333333336,60,0.07263922518159806,826,3.8986238298738294,6.997973187716387,450.3741359352467,0.20282841060158646,16.183333333333334,0.21666666666666667,0.11666666666666667,20,20,0.048426150121065374,15
overall,MIXED,16.17,ALL,875,Sett,59,34,25,0.576271186440678,59,0.011706349206349206,5040,2.6887947269303205,6.102362482686326,390.4336989677323,0.23761966331058923,25.11864406779661,0.15254237288135594,0.22033898305084745,6,6,0.011904761904761904,15
overall,MIXED,16.15,BOTTOM,51,Caitlyn,59,28,31,0.4745762711864407,59,0.07142857142857142,826,3.2932808716707016,6.85667451380925,421.2141044910838,0.22321841775219367,17.949152542372882,0.0847457627118644,0.15254237288135594,58,57,0.13801452784503632,15
overall,MIXED,16.16,ALL,101,Xerath,58,31,27,0.5344827586206896,58,0.017417417417417418,3330,3.242718919012022,3.224319572956061,330.4745278413313,0.23017933315802513,48.241379310344826,0.1206896551724138,0.05172413793103448,83,76,0.22822822822822822,15
overall,MIXED,16.17,ALL,62,MonkeyKing,58,30,28,0.5172413793103449,58,0.011507936507936509,5040,3.645381773399015,5.905444816206461,389.6010564714053,0.15076079185052707,27.93103448275862,0.06896551724137931,0.017241379310344827,43,43,0.08531746031746032,15
overall,MIXED,16.14,TOP,82,Mordekaiser,58,29,29,0.5,58,0.08333333333333333,696,2.0355811714204215,5.284818508181571,360.4563637441497,0.19790040624891267,20.551724137931036,0.05172413793103448,0.13793103448275862,174,157,0.4511494252873563,15
