scope,observed_tier,patch,role,spell_id,spell_name,games,wins,losses,win_rate,pick_rate,pick_rate_denominator,min_games_applied
overall,MIXED,15.10,JUNGLE,11,スマイト,138,69,69,0.5,1.0,138,15
overall,MIXED,15.10,BOTTOM,4,フラッシュ,138,69,69,0.5,1.0,138,15
overall,MIXED,16.2,UTILITY,4,フラッシュ,138,68,70,0.4927536231884058,0.971830985915493,142,15
overall,MIXED,15.17,MIDDLE,12,テレポート,137,69,68,0.5036496350364964,0.845679012345679,162,15
overall,MIXED,15.10,MIDDLE,4,フラッシュ,137,68,69,0.49635036496350365,0.9927536231884058,138,15
overall,MIXED,16.8,JUNGLE,4,フラッシュ,136,68,68,0.5,0.9714285714285714,140,15
overall,MIXED,15.10,UTILITY,4,フラッシュ,136,67,69,0.49264705882352944,0.9855072463768116,138,15
overall,MIXED,16.2,JUNGLE,4,フラッシュ,136,67,69,0.49264705882352944,0.9577464788732394,142,15
overall,MIXED,15.3,ALL,12,テレポート,134,71,63,0.5298507462686567,0.32682926829268294,410,15
overall,MIXED,15.10,ALL,14,イグナイト,133,68,65,0.5112781954887218,0.1927536231884058,690,15
overall,MIXED,15.20,ALL,11,スマイト,132,66,66,0.5,0.2,660,15
overall,MIXED,15.20,JUNGLE,11,スマイト,132,66,66,0.5,1.0,132,15
overall,MIXED,15.22,ALL,11,スマイト,132,66,66,0.5,0.2,660,15
overall,MIXED,15.22,JUNGLE,11,スマイト,132,66,66,0.5,1.0,132,15
overall,MIXED,15.22,BOTTOM,4,フラッシュ,132,66,66,0.5,1.0,132,15
overall,MIXED,16.15,ALL,3,イグゾースト,132,63,69,0.4772727272727273,0.031961259079903145,4130,15
